# sqrt_s[GeV] n_mean n_std b_mean[GeV-2] b_std[GeV-2]
5.0000 2.6220 2.7727 5.0345 1.4496
5.3613 2.5864 2.7582 4.6817 1.3552
5.7227 2.5504 2.7433 4.3291 1.2618
6.0840 2.5140 2.7279 3.9767 1.1695
6.4454 2.4774 2.7114 3.6243 1.0788
6.8067 2.4403 2.6936 3.2720 0.9901
7.1681 2.4296 2.6761 2.9469 0.9096
7.5294 2.4494 2.6586 2.6528 0.8385
7.8908 2.4695 2.6397 2.3589 0.7707
8.2521 2.5342 2.6207 2.1641 0.7249
8.6134 2.6185 2.5991 2.0123 0.6889
8.9748 2.7026 2.5736 1.8604 0.6548
9.3361 2.8090 2.5447 1.7785 0.6330
9.6975 2.9173 2.5119 1.7018 0.6123
10.0588 3.0257 2.4763 1.6300 0.5926
10.4202 3.1353 2.4383 1.5843 0.5767
10.7815 3.2454 2.3983 1.5385 0.5607
11.1429 3.3540 2.3562 1.4985 0.5451
11.5042 3.4600 2.3123 1.4674 0.5303
11.8655 3.5662 2.2669 1.4363 0.5155
12.2269 3.6687 2.2201 1.4105 0.5011
12.5882 3.7691 2.1720 1.3878 0.4871
12.9496 3.8696 2.1224 1.3651 0.4733
13.3109 3.9650 2.0706 1.3467 0.4605
13.6723 4.0594 2.0164 1.3290 0.4479
14.0336 4.1528 1.9599 1.3113 0.4354
14.3950 4.2382 1.9003 1.2960 0.4228
14.7563 4.3231 1.8379 1.2805 0.4098
15.1176 4.4048 1.7724 1.2653 0.3965
15.4790 4.4807 1.7033 1.2514 0.3826
15.8403 4.5563 1.6320 1.2373 0.3679
16.2017 4.6295 1.5608 1.2242 0.3528
16.5630 4.7010 1.4907 1.2119 0.3374
16.9244 4.7725 1.4230 1.1993 0.3221
17.2857 4.8416 1.3580 1.1876 0.3071
17.6471 4.9097 1.2961 1.1761 0.2928
18.0084 4.9777 1.2380 1.1643 0.2792
18.3697 5.0410 1.1845 1.1536 0.2668
18.7311 5.1039 1.1372 1.1426 0.2554
19.0924 5.1652 1.0970 1.1316 0.2449
19.4538 5.2224 1.0639 1.1210 0.2353
19.8151 5.2785 1.0369 1.1100 0.2264
20.1765 5.3329 1.0144 1.0991 0.2181
20.5378 5.3856 0.9950 1.0882 0.2106
20.8992 5.4369 0.9765 1.0771 0.2038
21.2605 5.4861 0.9565 1.0666 0.1973
21.6218 5.5334 0.9332 1.0564 0.1909
21.9832 5.5784 0.9054 1.0464 0.1840
22.3445 5.6188 0.8726 1.0370 0.1763
22.7059 5.6567 0.8346 1.0279 0.1677
23.0672 5.6916 0.7905 1.0193 0.1581
23.4286 5.7212 0.7398 1.0117 0.1475
23.7899 5.7474 0.6824 1.0044 0.1363
24.1513 5.7684 0.6194 0.9978 0.1249
24.5126 5.7832 0.5525 0.9920 0.1136
24.8739 5.7948 0.4839 0.9866 0.1021
25.2353 5.8018 0.4154 0.9813 0.0910
25.5966 5.8051 0.3496 0.9762 0.0804
25.9580 5.8057 0.2913 0.9714 0.0712
26.3193 5.8056 0.2484 0.9668 0.0645
26.6807 5.8047 0.2306 0.9623 0.0608
27.0420 5.8042 0.2434 0.9580 0.0604
27.4034 5.8065 0.2820 0.9542 0.0634
27.7647 5.8119 0.3375 0.9504 0.0699
28.1261 5.8208 0.4036 0.9467 0.0794
28.4874 5.8337 0.4759 0.9433 0.0911
28.8487 5.8510 0.5505 0.9398 0.1045
29.2101 5.8722 0.6244 0.9365 0.1191
29.5714 5.8976 0.6956 0.9332 0.1340
29.9328 5.9279 0.7630 0.9298 0.1485
30.2941 5.9616 0.8252 0.9264 0.1623
30.6555 5.9998 0.8821 0.9230 0.1750
31.0168 6.0421 0.9339 0.9196 0.1864
31.3782 6.0865 0.9805 0.9164 0.1959
31.7395 6.1344 1.0221 0.9130 0.2037
32.1008 6.1847 1.0591 0.9096 0.2100
32.4622 6.2360 1.0911 0.9064 0.2148
32.8235 6.2900 1.1177 0.9031 0.2181
33.1849 6.3458 1.1384 0.8998 0.2198
33.5462 6.4029 1.1522 0.8963 0.2199
33.9076 6.4618 1.1586 0.8927 0.2182
34.2689 6.5239 1.1585 0.8890 0.2144
34.6303 6.5878 1.1530 0.8852 0.2089
34.9916 6.6526 1.1427 0.8812 0.2016
35.3529 6.7181 1.1281 0.8774 0.1927
35.7143 6.7832 1.1096 0.8735 0.1822
36.0756 6.8474 1.0872 0.8695 0.1700
36.4370 6.9089 1.0617 0.8655 0.1560
36.7983 6.9691 1.0344 0.8614 0.1409
37.1597 7.0282 1.0073 0.8572 0.1252
37.5210 7.0865 0.9826 0.8531 0.1095
37.8824 7.1437 0.9631 0.8488 0.0950
38.2437 7.2004 0.9508 0.8444 0.0835
38.6050 7.2560 0.9473 0.8398 0.0773
38.9664 7.3101 0.9540 0.8349 0.0788
39.3277 7.3605 0.9709 0.8299 0.0881
39.6891 7.4093 0.9968 0.8246 0.1032
40.0504 7.4565 1.0300 0.8191 0.1217
40.4118 7.5004 1.0697 0.8134 0.1421
40.7731 7.5431 1.1160 0.8074 0.1636
41.1345 7.5840 1.1680 0.8012 0.1859
41.4958 7.6227 1.2246 0.7948 0.2086
41.8571 7.6605 1.2854 0.7886 0.2310
42.2185 7.6969 1.3507 0.7822 0.2530
42.5798 7.7321 1.4200 0.7758 0.2746
42.9412 7.7664 1.4925 0.7694 0.2952
43.3025 7.8006 1.5677 0.7632 0.3149
43.6639 7.8340 1.6449 0.7571 0.3337
44.0252 7.8666 1.7238 0.7509 0.3512
44.3866 7.8993 1.8039 0.7450 0.3677
44.7479 7.9313 1.8843 0.7391 0.3833
45.1092 7.9621 1.9639 0.7333 0.3980
45.4706 7.9915 2.0411 0.7276 0.4122
45.8319 8.0204 2.1155 0.7219 0.4260
46.1933 8.0464 2.1865 0.7161 0.4395
46.5546 8.0700 2.2541 0.7101 0.4529
46.9160 8.0936 2.3182 0.7041 0.4660
47.2773 8.1174 2.3800 0.6982 0.4790
