ma[GeV]	1/Fa[GeV^-1]
7/1000	67.62731089574272
1/100	32.6232591215965
7/500	16.553619679128683
17/1000	11.278421795699286
1/50	8.241769255900874
23/1000	6.346609715248833
13/500	5.092244362350275
29/1000	4.227032528773852
4/125	3.6158126903248493
7/200	3.1763422160168027
19/500	2.861875703082679
21/500	2.5884757266625833
9/200	2.4766149095023637
6/125	2.4448624888098127
51/1000	2.5076502287159017
27/500	2.7080438857191815
57/1000	3.1638906622852
3/50	4.262310446400833
63/1000	3.264750522087798
67/1000	11.958933556992735
7/100	3.2629632394676453
73/1000	1.6568900086004552
19/250	1.0110321033637582
79/1000	0.6746840277974603
81/1000	0.5308596577152149
83/1000	0.42571727792843933
43/500	0.312840941156385
89/1000	0.23470224896661063
23/250	0.1784516844808154
19/200	0.1369905414378601
97/1000	0.11530132382379077
99/1000	0.0972356911141981
1/10	0.089344393849535
101/1000	0.08211387235884346
101/1000	0.08211387235884346
51/500	0.07547885288471223
51/500	0.07547885288471227
103/1000	0.06938174358787018
103/1000	0.06938174358787018
13/125	0.06377157612978732
21/200	0.058603115137895866
21/200	0.0586031151378958
53/500	0.05383610546424289
53/500	0.053836105464242855
107/1000	0.04943463315938823
107/1000	0.049434633159388175
27/250	0.04536658077412399
27/250	0.045366580774123824
109/1000	0.04160316128818577
11/100	0.03811851788198385
