ma[MeV]	Fa[GeV]
50	1.867680675218843
54	1.8789552309760147
58	1.8917389133819105
62	1.9062430419770557
66	1.9227297876750329
70	1.941527598230738
74	1.9630527172324528
78	1.9878397863697546
82	2.016586326416085
86	2.0502190245803775
90	2.0899953937821127
94	2.1376649575755153
98	2.1957350045510484
102	2.2679296352790024
106	2.360028726531937
110	2.4815123175389604
114	2.649084311576471
118	2.8951708327944323
122	3.2921078768053267
126	4.0408293866120255
130	5.985258128312098
134	23.472077726275486
138	5.667671620184857
142	1.502468460471798
146	0.36482107883693315
150	0.16743909534305837
154	0.47676101633221335
158	0.6795434346453506
162	0.8232092777756718
166	0.9307063188904254
170	1.0144931037640237
174	1.0819181562560052
178	1.1375968396293288
182	1.1845745047722567
186	1.2249422780878116
190	1.2601841456790492
194	1.291382854680591
198	1.3193473801144542
202	1.3446947362991162
206	1.3679041382217905
210	1.3893538360059274
214	1.4093467641169466
218	1.4281287791222639
222	1.4459018717896337
226	1.4628339003920259
230	1.4790658710813849
234	1.494717459649749
238	1.5098912533375073
242	1.524676048254148
246	1.5391494412981734
250	1.5533798890561752
254	1.567428359851839
258	1.5813496723692153
262	1.5951935908203008
266	1.6090057296289766
270	1.6228283081500225
274	1.6367007867272387
278	1.650660408514577
282	1.6647426663055533
286	1.6789817096907742
290	1.6934107048705789
294	1.7080621571581454
298	1.7229682044495305
302	1.7381608885876207
306	1.753672410516023
310	1.769535374339243
314	1.785783024827643
318	1.8024494824930402
322	1.8195699800870537
326	1.8371811042208235
330	1.8553210457591578
334	1.874029862697423
338	1.8933497593829625
342	1.9133253861961306
346	1.9340041641647923
350	1.9554366394602287
354	1.9776768733262335
358	2.0007828737464743
362	2.024817076083693
366	2.049846881061458
370	2.075945259847322
374	2.10319143768963
378	2.131671669627627
382	2.1614801243233424
386	2.192719895166046
390	2.2255041616189617
394	2.2599575284981013
398	2.296217576733541
402	2.334436666475418
406	2.3747840425782947
410	2.417448304066483
414	2.4626403138642554
418	2.510596643825805
422	2.5615836742115237
426	2.615902497986981
430	2.6738948210812143
434	2.735950103375333
438	2.802514256382131
442	2.874100308946688
446	2.9513015813288503
450	3.034808084460062
454	3.125427105169773
458	3.2241092797817155
462	3.3319819430843145
466	3.450392237037438
470	3.580963482794352
474	3.7256698346704624
478	3.886936528914041
482	4.067776585753401
486	4.271980427561653
490	4.504383958920131
494	4.771255792595488
498	5.080870343208626
