TRIUMF,,KEK,,PS191,,CHARM,,DELPHI,,CMS,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.0037353133845202825,0.00010265110680046623,0.13818509961019546,0.00999999999999998,0.14928088217498434,0.00999999999999998,0.15818358922855955,0.00999999999999998,0.42348144036346996,0.00999999999999998,1.098389982110912,0.0012853300912294384
0.004275897182284208,0.00007337199081633077,0.13818509961019546,0.0000024026019110628904,0.15219133867459037,6.75375737118994e-8,0.16126761746240678,0.00003526537325445483,0.7132626386780494,0.001865663578576909,2.0966010733452594,0.0001096054842363092
0.005287744232907848,0.00005406977289598704,0.15219133867459037,0.000001227482054379288,0.16126761746240678,4.1440428976752195e-8,0.2613309069493408,0.000006189658188912623,0.8651808900090447,0.0009245046309020032,3.062611806797853,0.00003049837706952071
0.006052999665256728,0.000039845454764093904,0.17761346668852118,7.531716065450021e-7,0.17761346668852118,1.9319009163525562e-8,0.4487367252415616,0.0000016656774607576028,1.4020081044107195,0.0002009233002565046,4.093023255813954,0.000013103895446815737
0.006666522835319507,0.000029363176139311717,0.21132339981844522,5.899746255923572e-7,0.19561610722294137,1.0816603471464927e-8,0.6230878263328847,7.531716065450021e-7,2.062839357324804,0.00006298576728408929,7.087656529516995,0.0000019467410023284936
0.007931787475313474,0.000022309243744089832,0.23728050309900187,5.550322032222938e-7,0.20728212146530903,8.47286531754995e-9,0.8486354586685289,4.216965034285831e-7,2.2284781782941554,0.0000574737714946564,9.116279069767442,0.0000010393731378287023
0.009808763328783847,0.00001368874509537082,0.2613309069493408,5.899746255923572e-7,0.23274282974328692,5.042565116801323e-9,1.0097011993286504,3.5111917342151345e-7,2.6007244442001136,0.000036358508611685774,10.082289803220036,9.212141220522678e-7
0.011670405703460406,0.000009784312227406767,0.2934304915098458,7.531716065450021e-7,0.2664259480932369,3.6042771770583312e-9,1.4020081044107195,9.74173616991589e-8,3.0943257951443552,0.000023713737056616554,11.04830053667263,8.56868240410433e-7
0.015000323627513306,0.000006189658188912623,0.34244528816856945,0.000002062499915333266,0.271620324767557,3.1899794020173736e-9,1.5742184190168262,9.448846371770341e-8,3.474405494398005,0.00002098793434560512,13.076923076923078,8.77801313597249e-7
0.018549995795446785,0.000003915642469815899,0.3559284336984198,0.0000033613609584193967,0.2991513625869363,2.4987756933453822e-9,1.9846956614966702,1.4487213101768473e-7,3.753388163415846,0.000020356922404123866,14.107334525939178,0.000001064764759243163
0.023386904721263584,0.000002633022349343913,0.36286779665072255,0.000004037017258596558,0.32317217584819546,2.350780725600365e-9,2.1440598156592228,0.00999999999999998,3.9772300565664986,0.00002300077259744366,14.075134168157424,0.00001054534509764992
0.025264791775530544,0.000002126432078066058,0.3699424529755814,0.000004848485047517777,0.3358964784702677,2.14505975052759e-9,,,4.133826083760145,0.000030273358651967442,13.076923076923078,0.00002338690472126358
0.031852582856214354,0.000001429891321556998,0.3699424529755814,0.00999999999999998,0.3920048178111678,2.14505975052759e-9,,,4.214421273301012,0.000045020373211472874,10.95169946332737,0.00009256717779053389
0.03576507330290211,0.0000011200629308679941,,,0.40743927753236187,2.280103417141536e-9,,,4.214421273301012,0.00008040869806425402,9.051878354203938,0.0003247359711773542
0.03939016868763705,0.0000010220442446622964,,,0.41538292226577633,2.6560877829466946e-9,,,4.6415888336127775,0.00004785466082015624,5.059033989266547,0.013685741851359056
0.04255306214128212,8.509895801088036e-7,,,0.4487367252415616,3.288860512619077e-9,,,5.01429226255122,0.00003420510351671321,4.8658318425760285,0.020136464858052105
0.04596992493124667,7.765179782744638e-7,,,0.4487367252415616,4.462941684483928e-9,,,5.522533573417245,0.000025206651181948996,,
0.049661149911332365,6.872602284193404e-7,,,0.45748552615674054,0.00999999999999998,,,6.082289478276918,0.00002098793434560512,,
